pagecount_desktop_views,pagecount_mobile_views,pagecount_all_views,pageview_mobile_views,pageview_desktop_views,pageview_all_views,year,month
2998331524,0,2998331524,0,0,0,2007,12
4930902570,0,4930902570,0,0,0,2008,01
4818393763,0,4818393763,0,0,0,2008,02
4955405809,0,4955405809,0,0,0,2008,03
5159162183,0,5159162183,0,0,0,2008,04
5584691092,0,5584691092,0,0,0,2008,05
5712104279,0,5712104279,0,0,0,2008,06
5306302874,0,5306302874,0,0,0,2008,07
5140155519,0,5140155519,0,0,0,2008,08
5479533823,0,5479533823,0,0,0,2008,09
5679440782,0,5679440782,0,0,0,2008,10
5415832071,0,5415832071,0,0,0,2008,11
5211708451,0,5211708451,0,0,0,2008,12
5802681551,0,5802681551,0,0,0,2009,01
5547320860,0,5547320860,0,0,0,2009,02
6295159057,0,6295159057,0,0,0,2009,03
5988817321,0,5988817321,0,0,0,2009,04
6267516733,0,6267516733,0,0,0,2009,05
5818924182,0,5818924182,0,0,0,2009,06
5801646978,0,5801646978,0,0,0,2009,07
5790850384,0,5790850384,0,0,0,2009,08
4057515768,0,4057515768,0,0,0,2009,09
6016107147,0,6016107147,0,0,0,2009,10
5768486910,0,5768486910,0,0,0,2009,11
5426505977,0,5426505977,0,0,0,2009,12
5703465285,0,5703465285,0,0,0,2010,01
5762451418,0,5762451418,0,0,0,2010,02
6661347946,0,6661347946,0,0,0,2010,03
6618552152,0,6618552152,0,0,0,2010,04
6410578775,0,6410578775,0,0,0,2010,05
4898035014,0,4898035014,0,0,0,2010,06
5296177638,0,5296177638,0,0,0,2010,07
7381346660,0,7381346660,0,0,0,2010,08
7546488744,0,7546488744,0,0,0,2010,09
10172844562,0,10172844562,0,0,0,2010,10
6948678354,0,6948678354,0,0,0,2010,11
7001952100,0,7001952100,0,0,0,2010,12
7568511227,0,7568511227,0,0,0,2011,01
6906248849,0,6906248849,0,0,0,2011,02
7326545928,0,7326545928,0,0,0,2011,03
6835492088,0,6835492088,0,0,0,2011,04
7009799378,0,7009799378,0,0,0,2011,05
6536675534,0,6536675534,0,0,0,2011,06
6571730164,0,6571730164,0,0,0,2011,07
6514500361,0,6514500361,0,0,0,2011,08
5837738935,0,5837738935,0,0,0,2011,09
6974424665,0,6974424665,0,0,0,2011,10
7507641641,0,7507641641,0,0,0,2011,11
6396357939,0,6396357939,0,0,0,2011,12
7808477339,0,7808477339,0,0,0,2012,01
7530127141,0,7530127141,0,0,0,2012,02
7358543625,0,7358543625,0,0,0,2012,03
7220029422,0,7220029422,0,0,0,2012,04
7784479302,0,7784479302,0,0,0,2012,05
7524265988,0,7524265988,0,0,0,2012,06
7819376527,0,7819376527,0,0,0,2012,07
7885641059,0,7885641059,0,0,0,2012,08
7913689733,0,7913689733,0,0,0,2012,09
8379960050,0,8379960050,0,0,0,2012,10
8219987195,0,8219987195,0,0,0,2012,11
8033826900,0,8033826900,0,0,0,2012,12
9126210673,0,9126210673,0,0,0,2013,01
8100597857,0,8100597857,0,0,0,2013,02
8701419671,0,8701419671,0,0,0,2013,03
8049296729,0,8049296729,0,0,0,2013,04
8089099883,0,8089099883,0,0,0,2013,05
7759959725,0,7759959725,0,0,0,2013,06
8237301982,0,8237301982,0,0,0,2013,07
9306122925,0,9306122925,0,0,0,2013,08
9985326806,0,9985326806,0,0,0,2013,09
10775158269,0,10775158269,0,0,0,2013,10
10414877805,0,10414877805,0,0,0,2013,11
7102459747,0,7102459747,0,0,0,2013,12
7026531269,0,7026531269,0,0,0,2014,01
6718243109,0,6718243109,0,0,0,2014,02
7464128273,0,7464128273,0,0,0,2014,03
7216245221,0,7216245221,0,0,0,2014,04
7543277646,0,7543277646,0,0,0,2014,05
6577352648,0,6577352648,0,0,0,2014,06
6761059566,0,6761059566,0,0,0,2014,07
6687313714,0,6687313714,0,0,0,2014,08
7564600999,0,7564600999,0,0,0,2014,09
6577533128,3091546685,9669079813,0,0,0,2014,10
6153537606,3027489668,9181027274,0,0,0,2014,11
5830332248,3278950021,9109282269,0,0,0,2014,12
6103767055,3485302091,9589069146,0,0,0,2015,01
5602710439,3091534479,8694244918,0,0,0,2015,02
6346602713,3330832588,9677435301,0,0,0,2015,03
6198945657,3222089917,9421035574,0,0,0,2015,04
6323801814,3334069483,9657871297,0,0,0,2015,05
5165413640,3038162463,8203576103,0,0,0,2015,06
5229226022,3254472695,8483698717,3288755294,4376666686,7665421980,2015,07
5035534449,3268487582,8304022031,3302333038,4332482183,7634815221,2015,08
5409631355,3172429827,8582061182,3170203333,4485491704,7655695037,2015,09
5535704471,3246082505,8781786976,3268499132,4477532755,7746031887,2015,10
5296956116,3218234512,8515190628,3236601070,4287720220,7524321290,2015,11
5264446173,3387411863,8651858036,3376275307,4100012037,7476287344,2015,12
5569632502,3739628742,9309261244,3717836846,4436179457,8154016303,2016,01
5347709361,3333231392,8680940753,3334862272,4250997185,7585859457,2016,02
5407676056,3419853636,8827529692,3386684191,4286590426,7673274617,2016,03
5572235399,3301385124,8873620523,3258764002,4149383857,7408147859,2016,04
5330532334,3418435805,8748968139,3395033236,4191778094,7586811330,2016,05
4975092447,3372618063,8347710510,3354790945,3888839711,7243630656,2016,06
0,0,0,3496573762,4337865827,7834439589,2016,07
0,0,0,3515819303,4695046216,8210865519,2016,08
0,0,0,3393285781,4135006498,7528292279,2016,09
0,0,0,3509283891,4361737690,7871021581,2016,10
0,0,0,3591044925,4392068236,7983113161,2016,11
0,0,0,3776543855,4209608578,7986152433,2016,12
0,0,0,4231961542,4521980398,8753941940,2017,01
0,0,0,3711761399,4026702163,7738463562,2017,02
0,0,0,3903493989,4319971902,8223465891,2017,03
0,0,0,3639623119,3951456992,7591080111,2017,04
0,0,0,3686687720,4187870579,7874558299,2017,05
0,0,0,3519383193,3604550997,7123934190,2017,06
0,0,0,3725059253,3565444544,7290503797,2017,07
0,0,0,3621406302,3575572313,7196978615,2017,08
0,0,0,3531604369,3547447892,7079052261,2017,09
0,0,0,3673120542,3907651639,7580772181,2017,10
0,0,0,3670012061,3816060923,7486072984,2017,11
0,0,0,3830136304,3640391096,7470527400,2017,12
0,0,0,4259282371,4111833689,8371116060,2018,01
0,0,0,3725680728,3634653694,7360334422,2018,02
0,0,0,4049874257,3965271925,8015146182,2018,03
0,0,0,3927398111,3762955419,7690353530,2018,04
0,0,0,4089188522,3675652396,7764840918,2018,05
0,0,0,3977766741,3278649434,7256416175,2018,06
0,0,0,4266113752,3457051589,7723165341,2018,07
0,0,0,4187362161,3399130789,7586492950,2018,08
0,0,0,3977120244,3433832231,7410952475,2018,09
0,0,0,4073789753,3640606578,7714396331,2018,10
0,0,0,4033380040,3448616562,7481996602,2018,11
0,0,0,4289054166,3379686909,7668741075,2018,12
0,0,0,4597597181,3616017826,8213615007,2019,01
0,0,0,4018109995,3244921935,7263031930,2019,02
0,0,0,4407290322,3439386600,7846676922,2019,03
0,0,0,4261664166,3330234244,7591898410,2019,04
0,0,0,4413766230,3364959217,7778725447,2019,05
0,0,0,4285985271,2986618238,7272603509,2019,06
0,0,0,4557266440,3140657554,7697923994,2019,07
0,0,0,4531756543,2979881198,7511637741,2019,08
0,0,0,4437958209,3061362632,7499320841,2019,09
0,0,0,4506591862,3588403486,8094995348,2019,10
0,0,0,4471241664,3252465442,7723707106,2019,11
0,0,0,4554269292,3097051994,7651321286,2019,12
0,0,0,4832149630,3440480235,8272629865,2020,01
0,0,0,4418801212,3176520359,7595321571,2020,02
0,0,0,4686270555,3412498274,8098768829,2020,03
0,0,0,5505741941,3798372613,9304114554,2020,04
0,0,0,5231700095,3078093615,8309793710,2020,05
0,0,0,4573975256,2721328557,7295303813,2020,06
0,0,0,4809714465,2638936132,7448650597,2020,07
0,0,0,4803308661,2613058239,7416366900,2020,08
0,0,0,4492250780,2661783500,7154034280,2020,09
